XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR
ethchlorvynol	1.83	144.034192588	0	2	2.01	5	2	6	8	0	18	0	0	0.5453	0.29735209	36.3909
ethenzamide	1.247	165.078978592	0	3	2.12	0	10	3	12	0	23	6	6	1.4101	1.98838201	44.2183
ethinyl_estradiol	4.253	296.177630008001	0	0	3.44	0	7	2	25	0	46	6	6	2.4428	5.96727183999999	84.9962
ethionamide	0.793	166.05646932	0	2	2.01	0	9	3	11	0	21	6	6	0.8332	0.69422224	47.3478
ethosuximide	0.0930000000000001	141.078978592	0	1	1.9	0	5	2	10	0	21	0	0	-0.1444	0.0208513599999999	35.4053
ethotoin	1.251	204.225600179788	0	2	2.23	2	6	2	16	0	27	6	6	1.2201	1.48864401	55.1238
ethyl_chloride	1.398	64.514113140889	0	0	1.57	2	0	3	2	0	8	0	0	1.1954	1.42898116	16.0603
ethyl_loflazepate	3.869	360.067698208	0	4	2.67	0	17	5	27	0	39	12	12	3.8357	14.71259449	89.2244
ethylene	1.262	28.0532348088792	0	0	1.68	2	2	2	1	0	6	0	0	0.9472	0.89718784	9.9758
ethylene_glycol	-1.208	62.0679261716696	0	1	1.46	2	0	4	3	0	10	0	0	-0.8974	0.80532676	14.5536
ethylene_oxide	-0.19	44.0526397364486	0	0	1.57	0	0	0	3	0	7	0	0	-0.1309	0.01713481	11.0435
ethylmorphine	1.234	313.167793596001	0	2	3.11	0	8	3	27	1	46	6	6	1.6584	2.75029056	88.479
ethynodiol	4.997	384.230059504001	0	4	3.66	0	3	3	31	0	60	0	0	1.2456	1.55151936	101.7712
etidronate	-3.815	205.974525856	0	2	0.69	0	4	5	10	0	19	0	0	-0.8018	0.64288324	33.3638
etifoxine	4.623	300.102940844	0	3	2.89	0	10	3	23	2	38	12	12	4.4432	19.74202624	83.4912
etilefrine	0.945	181.11027872	0	4	2.23	2	7	6	13	1	28	6	6	0.967399999999999	0.935862759999998	51.1813
etodolac	2.771	287.152143532001	0	4	2.89	2	9	3	23	0	42	10	9	1.6409	2.69255281	79.6547
etofenamate	3.625	369.118792716	0	10	2.56	2	16	9	27	0	44	12	12	3.7716	14.22496656	89.7288
etofylline	0.343	329.11240396	0	5	2.12	2	11	5	26	0	39	16	15	0.986900000000001	0.973971610000002	76.7582
etomidate	2.874	244.121177752	0	5	2.56	0	8	5	19	0	34	11	11	1.9024	3.61912576	69.3031
etonogestrel	3.4	324.208930136001	0	1	3.66	0	4	2	27	0	52	0	0	1.4406	2.07532835999999	94.4504
etoposide	0.775	588.184291084001	0	5	3.22	0	9	2	48	0	74	12	12	1.4664	2.15032896	136.9135
etoricoxib	3.945	358.0542764	0	3	2.78	0	21	3	26	0	39	18	18	3.9419	15.53857561	96.2878
etravirine	4.485	434.049071200001	0	4	2.78	0	25	2	30	0	43	18	18	4.6676	21.78648976	110.7179
etretinate	6.534	354.219494820001	1	8	3.66	9	18	12	26	0	56	6	6	6.0353	36.42484609	113.2294
eucalyptol	2.595	154.135765196	0	0	2.45	0	0	0	12	0	29	0	0	1.3109	1.71845881	44.0326
eugenol	2.556	164.201457868928	0	3	2.34	3	8	3	12	0	24	6	6	2.5541	6.52342681	48.5026
everolimus	4.131	957.581356336002	1	9	5.64	3	6	4	71	0	151	0	0	-1.2775	1.63200625000001	248.1811
exemestane	3.819	296.177630008001	0	0	3.44	0	8	0	25	0	46	0	0	1.6102	2.59274404	88.1526
exenatide	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
ezetimibe	4.457	409.148949972001	0	6	3.44	3	9	4	33	0	51	18	18	3.9253	15.40798009	106.5072
ezogabine	2.57	303.138305036	0	7	2.56	0	12	5	23	0	40	12	12	2.7987	7.83272169	83.9808
famciclovir	0.619	321.143704088001	0	9	2.01	4	10	9	24	0	42	10	9	-1.5929	2.53733041	78.5518
famotidine	-1.791	337.04493572	0	7	1.02	3	9	8	20	5	35	5	5	-0.9314	0.86750596	73.8744
fatty_acids_omega-6	16.214	584.913792033071	3	28	5.2	20	3	21	40	0	106	0	0	12.8048	163.96290304	188.4728
febuxostat	2.673	316.088163372	0	5	2.56	3	17	4	23	0	38	11	11	3.1726	10.06539076	85.3416
felbamate	0.254	238.095356928	0	7	2.01	3	6	9	17	0	31	6	6	1.2233	1.49646289	55.4099
felbinac	3.389	212.083729624	0	3	2.78	2	12	3	17	0	28	12	12	2.9876	8.92575376	62.5018
felodipine	5.08	383.069113448001	1	6	2.67	0	11	5	26	0	44	6	6	3.5786	12.80637796	98.6671
fenbufen	3.209	254.281159684877	0	5	2.89	4	14	6	20	0	33	12	12	2.9082	8.45762723999999	72.4903
fenfluramine	3.5	231.123484172	0	5	2.34	3	6	5	16	1	32	6	6	2.6121	6.82306641	59.0233
fenofibrate	3.103	300.099773612	0	5	2.78	3	16	4	23	0	38	12	12	3.2024	10.25536576	80.0814
fenoldopam	2.593	305.081871052	0	1	2.67	0	8	0	23	1	37	12	12	3.2611	10.63477321	81.1442
fenoprofen	3.144	242.094294308	0	4	2.78	3	13	4	19	0	32	12	12	3.5442	12.56135364	68.2611
fenoterol	2.038	303.147058152001	0	6	2.78	3	8	6	23	1	43	12	12	1.69	2.8561	84.4132
fenoxazoline	2.563	218.141913196	0	4	2.56	0	7	3	17	2	34	6	6	1.3764	1.89447696	63.0545
fenproporex	1.803	188.26928923674	0	5	2.56	3	6	7	14	1	30	6	6	2.0452	4.18284304	58.2421
fenspiride	1.929	260.15247788	0	3	2.67	2	6	2	21	1	39	6	6	1.0445	1.09098025	68.7147
fentanyl	3.935	336.220163516001	0	7	3.55	3	9	4	27	1	53	12	12	2.609	6.80688100000002	99.5932
fenticonazole	7.038	454.067339620001	1	8	3.44	2	6	4	33	0	50	23	23	6.8173	46.47557929	125.9168
ferric_ammonium_citrate	-3.69	261.975624734883	0	5	1.13	5	3	7	12	0	23	0	0	-3.7392	13.98161664	31.1905
ferric_carboxymaltose	-10.194	788.437323504008	4	14	1.24	6	3	8	48	0	94	0	0	-8.6498	74.81904004	133.3082
ferric_citrate	-3.69	244.94509926637	0	5	1.24	5	3	7	12	0	19	0	0	-3.4284	11.75392656	28.7905
ferric_hydroxide	-1.401	106.943156456	0	0	1.02	0	0	0	0	0	7	0	0	NA	NA	NA
ferric_pyrophosphate	-10.428	745.210655753065	2	6	-1.95	0	9	5	24	0	31	0	0	-11.1669	124.69965561	46.6059
ferric_sulfate	-5.292	399.881405357001	1	0	-0.41	0	4	3	12	0	17	0	0	-6.0402	36.48401604	25.9248
ferrous_ascorbate	-0.356000000000001	406.078006069377	2	4	1.35	2	7	4	24	0	39	0	0	-4.8742	23.75782564	68.3614
ferrous_aspartate	-4.669	186.932115897121	0	3	1.24	4	3	6	8	1	15	0	0	-2.6007	6.76364049	22.0522
ferrous_bisglycinate	-5.496	203.962641365635	0	2	1.13	2	3	4	8	2	19	0	0	-3.3118	10.96801924	27.7516
ferrous_carbonate	-1.192	115.854096303023	0	0	1.13	0	4	3	3	0	5	0	0	-1.1933	1.42396489	4.9426
ferrous_chloride	1.024	125.87264286	0	0	1.13	0	0	0	0	0	3	0	0	NA	NA	NA
ferrous_fumarate	-1.378	169.901590428608	0	2	1.35	4	8	6	7	0	11	0	0	-1.3674	1.86978276	20.2016
ferrous_gluconate	-8.44	446.140341955122	2	10	1.13	6	3	8	24	0	49	0	0	-6.8182	46.48785124	72.1366
ferrous_glycine_sulfate	-7.26	302.042227576602	0	2	0.58	2	5	4	12	2	26	0	0	-4.6576	21.69323776	41.5224
ferrous_succinate	-1.672	171.91747193626	0	3	1.35	4	3	6	7	0	13	0	0	-1.7656	3.11734336	18.9814
ferrous_sulfate	-1.764	151.88666698	0	0	0.8	0	4	3	4	0	6	0	0	NA	NA	NA
ferumoxytol	-0.634	233.54893808851	0	0	0.69	0	3	3	4	0	9	0	0	-0.9672	0.93547584	8.015
fesoterodine	5.065	411.277344044001	2	11	3.88	3	9	6	31	1	67	12	12	3.0737	9.44763169000002	123.4217
fexofenadine	5.639	501.287908728001	1	10	4.43	4	6	5	40	1	76	18	18	2.8752	8.26677503999997	139.4883
fidaxomicin	5.757	1056.425220888	4	15	4.98	3	11	4	75	0	146	6	6	3.9892	15.91371664	267.3043
finasteride	4.65	372.277678392001	0	3	3.55	3	5	5	30	0	63	0	0	0.896500000000001	0.803712250000003	103.4245
fingolimod	4.588	307.251129296001	1	12	3.22	8	6	8	22	1	55	6	6	-1.7101	2.92444201	83.7658
flavoxate	4.466	391.178358280001	1	6	3.55	2	20	5	32	1	54	17	16	3.3643	11.31851449	103.2071
flecainide	4.622	414.137811820001	0	10	2.12	2	11	4	29	1	48	6	6	1.9739	3.89628120999999	82.0699
fleroxacin	2.977	369.130026096001	0	4	2.34	2	15	3	28	1	44	11	10	2.8509	8.12763081000001	86.252
flopropione	1.792	182.0579088	0	2	2.01	3	11	4	13	0	23	6	6	1.2261	1.50332121	46.3413
floxacillin	3.197	453.056147544001	0	5	2.34	0	14	3	33	0	47	11	11	3.2776	10.74266176	105.8081
floxuridine	-1.4	246.065199672	0	2	1.57	0	8	2	18	0	28	6	6	-0.561899999999999	0.315731609999999	42.4494
flubendazole	3.378	313.086269464	0	5	2.45	0	21	4	25	0	35	16	15	3.4915	12.19057225	79.0644
fluconazole	0.383	306.104065444	0	5	1.9	3	6	3	24	0	34	16	16	0.877800000000001	0.770532840000001	76.5498
flucytosine	-0.668	129.033839968	0	0	1.35	0	8	0	9	0	13	6	6	-0.0385	0.00148225	25.2833
fludarabine	-2.825	365.053662606	1	4	1.02	0	10	4	26	0	37	10	9	-1.3872	1.92432384	74.3585
fludrocortisone	0.373	380.199902248001	0	2	3.11	2	4	4	30	0	56	0	0	-0.8925	0.796556249999999	95.9693
flufenamic_acid	4.203	281.06636322	0	4	2.34	0	16	3	21	0	30	12	12	4.0635	16.51203225	67.699
fluindione	2.885	240.058657748	0	1	2.78	0	10	0	20	0	27	12	12	3.1524	9.93762576	65.3748
flumazenil	2.915	303.101919528	0	3	2.34	0	17	5	24	0	36	11	11	1.9718	3.88799524	77.0043
flunarizine	5.625	404.206405272001	1	6	3.88	3	8	3	33	2	56	18	18	6.1902	38.31857604	120.1474
flunisolide	1.122	434.210466932001	0	2	3.33	2	6	4	35	0	62	0	0	-0.522100000000002	0.272588410000002	110.3183
flunitrazepam	2.349	313.086269464	0	2	2.45	0	20	3	25	0	35	12	12	3.2215	10.37806225	78.5298
fluocinolone	0.598	412.169744992001	0	2	2.89	2	6	4	32	0	55	0	0	-1.028	1.05678400000001	97.7139
fluocinonide	1.893	494.211609804001	0	4	3.33	2	6	6	39	0	67	0	0	0.0860999999999972	0.00741320999999951	119.0724
fluocortolone	2.398	376.204987628001	0	2	3.33	2	6	4	30	0	56	0	0	-0.205700000000004	0.0423124900000018	99.8517
fluorescein	3.139	332.068473484	0	2	3.11	0	25	3	28	0	37	21	20	4.1748	17.42895504	86.7562
fluorometholone	1.953	376.204987628001	0	1	3.33	0	6	3	30	0	56	0	0	-0.0788000000000026	0.00620944000000042	99.1795
fluorouracil	-0.759	130.017855556	0	0	1.35	0	8	0	9	0	12	6	6	0.6542	0.42797764	18.904
fluoxetine	4.647	309.134048856001	0	7	2.78	3	7	6	23	1	40	12	12	3.8103	14.51838609	78.3386
fluoxymesterone	1.998	336.210073008001	0	0	3.22	0	4	0	27	0	53	0	0	0.472899999999999	0.223634409999999	89.2292
flupenthixol	4.423	434.163969080001	0	6	3.22	3	14	3	33	2	55	12	12	4.338	18.818244	117.075
fluphenazine	4.16	437.174868112001	0	7	3	3	13	3	33	2	56	12	12	4.4675	19.95855625	115.0885
flupirtine	2.774	304.133554004	0	7	2.34	0	12	5	23	0	39	12	12	2.6288	6.91058944	81.8647
fluprednidene	0.587	390.184252184001	0	2	3.22	2	6	4	31	0	55	0	0	-0.306699999999999	0.0940648899999994	101.5763
fluprednisolone	0.739	378.435282043691	0	2	3.11	2	6	4	30	0	54	0	0	1.0318	1.06461124	98.6157
flurandrenolide	0.654	436.226116996001	0	2	3.33	2	4	4	35	0	64	0	0	-0.786000000000004	0.617796000000007	109.4894
flurazepam	3.778	387.151368256001	0	6	3.11	2	17	5	29	1	50	12	12	4.2712	18.24314944	106.4848
flurbiprofen	3.764	244.089957876	0	3	2.78	3	12	4	19	0	31	12	12	3.4531	11.92389961	67.5231
fluspirilene	6.206	475.243519052001	1	7	3.99	4	7	4	39	1	66	18	18	3.9415	15.53542225	128.6995
flutamide	2.639	276.072176872	0	5	1.79	3	12	4	19	0	30	6	6	3.4393	11.82878449	55.948
fluticasone	2.396	444.158215004001	0	3	3	0	6	5	33	0	57	0	0	1.0572	1.11767184	106.3803
fluvastatin	4.514	411.184586532001	0	8	3.44	7	17	8	32	0	56	16	15	3.2196	10.36582416	113.1576
fluvoxamine	3.242	318.155512572001	0	10	2.34	5	9	12	22	1	43	6	6	1.1983	1.43592288999999	75.9332
folate	-2.735	463.121625576	1	10	2.01	5	12	8	34	1	51	17	16	NA	NA	NA
folic_acid	-2.254	441.139681328001	2	10	2.12	5	12	8	34	0	51	17	16	-0.460800000000001	0.212336640000001	105.4781
fomepizole	0.973	82.053098192	0	0	1.68	0	5	0	6	0	12	5	5	0.7602	0.57790404	24.7866
fominoben	2.28	401.150619308001	0	8	3	2	15	5	30	1	52	12	12	2.6738	7.14920644	108.9827
fondaparinux	-18.672	1506.951333076	3	30	-1.73	0	5	4	95	0	144	0	0	-10.9096	119.01937216	251.152
formaldehyde	0.021	30.010564684	0	0	1.46	0	1	2	1	0	4	0	0	-0.8841	0.78163281	6.307
formalin	0.021	30.026022332009	0	0	1.46	0	2	2	1	0	4	0	0	-0.8841	0.78163281	6.307
formestane	2.954	302.40865642115	0	0	3.22	0	5	0	25	0	48	0	0	2.7307	7.45672249	85.2881
formic_acid	-0.316	46.0254272595784	0	0	1.35	0	3	3	2	0	5	0	0	-0.3087	0.09529569	8.5717
formoterol	2.212	344.173607248001	0	9	2.89	3	10	6	26	1	49	12	12	1.481	2.19336100000001	95.6233
fosamprenavir	1.041	585.190987362001	2	15	2.67	4	11	10	41	0	75	12	12	1.4879	2.21384641	139.9421
fosaprepitant	5.529	614.407448773851	2	9	2.01	2	10	3	44	1	63	12	12	3.8361	14.71566321	128.3651
foscarnet	-2.127	125.971809826	0	1	0.91	0	7	4	6	0	10	0	0	-0.4574	0.20921476	18.4995
fosfestrol	2.702	428.078990924001	0	8	2.34	6	24	6	29	0	50	12	12	3.1992	10.23488064	104.1838
fosfomycin	-1.578	138.008195334	0	1	1.24	0	4	3	8	0	15	0	0	-0.6449	0.41589601	25.4657
fosinopril	6.309	563.301189442001	2	16	3.77	4	6	11	41	0	85	6	6	-0.586099999999997	0.343513209999996	131.1417
fosphenytoin	0.994	362.06677283	0	5	2.23	0	6	4	27	0	40	12	12	1.9217	3.69293089	85.4791
framycetin	-6.914	614.644683602728	3	9	1.9	0	0	2	45	6	88	0	0	-8.9587	80.25830569	135.9003
frovatriptan	1.214	243.137162164	0	2	2.56	0	12	3	20	1	35	10	9	0.9835	0.96727225	68.202
fructose	-1.74	180.063388104	0	2	1.46	0	0	2	12	0	24	0	0	-2.5636	6.57204496	36.3608
fulvestrant	10.132	606.316607464001	2	15	3.99	9	7	16	44	0	88	6	6	-0.179899999999997	0.0323640099999988	126.9802
fumarate	1.916	377.140927216001	0	8	2.56	4	8	6	26	1	49	11	11	2.4788	6.14444944000001	104.2801
furazolidone	0.896	225.038570324	0	3	1.46	0	14	3	17	0	23	5	5	1.5955	2.54562025	46.7633
furosemide	1.712	365.984397844	0	5	1.68	0	14	3	22	0	34	11	11	2.0175	4.07030625	74.5398
fusafungin	4.137	639.821661531306	2	6	3.77	3	3	3	45	0	102	0	0	5.5218	30.49027524	167.0481
fusidate	5.423	538.327033504001	1	6	4.1	7	5	8	40	1	85	0	0	NA	NA	NA
gabapentin	1.391	171.125928784	0	3	2.12	2	3	3	12	1	29	0	0	-2.0523	4.21193529	41.7889
gadobenate	-4.103	667.724216876269	3	20	2.23	3	6	14	36	5	65	6	6	-2.9627	8.77759128999999	111.1376
gadobutrol	-5.938	604.712988902492	2	10	1.9	4	3	6	31	4	63	0	0	-4.0309	16.24815481	102.1647
gadodiamide	-5.184	573.659111619253	3	18	1.68	2	3	15	28	3	56	0	0	-3.881	15.062161	93.8047
gadolinium	0	157.25212221544	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
gadopentetate	-4.764	547.575398743789	3	16	1.46	2	3	13	26	3	48	0	0	-3.0884	9.53821455999999	80.3669
gadoterate_meglumine	-8.07600000000001	753.858339595829	4	14	1.9	6	3	9	40	5	84	0	0	-5.5986	31.34432196	135.0179
gadoteridol	-4.134	558.687561642913	2	8	2.01	3	3	3	28	4	58	0	0	-2.632	6.927424	94.6579
gadoversetamide	-5.564	661.76439109215	3	24	1.9	2	3	21	34	3	70	0	0	-4.1428	17.16279184	115.8917
gadoxetate	-3.483	681.750834280709	3	20	2.34	3	7	13	37	5	68	6	6	-2.1782	4.74455523999999	116.0599
galantamine	1.575	287.152143532001	0	1	2.89	0	8	2	24	1	42	6	6	1.1539	1.33148521	79.9728
gallamine	4.292	510.463467780002	1	21	4.1	2	9	6	36	6	96	6	6	0.64090000000001	0.410752810000013	146.395
gallium_nitrate	-0.0570000000000004	255.737819591317	0	0	0.03	0	4	3	9	0	13	0	0	3.723	13.860729	26.5077
gamma-aminobutyrate	-0.668	103.119923433759	0	3	1.57	4	3	6	6	1	16	0	0	-0.6221	0.38700841	25.4574
gamma-linolenate	8.676	306.255880328001	2	15	3.44	20	3	21	21	0	56	0	0	-0.1303	0.0169780900000001	87.6386
ganciclovir	-1.145	277.078698144	0	5	1.35	3	11	5	19	1	31	10	9	NA	NA	NA
ganirelix	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
gatifloxacin	2.867	375.159434404001	0	4	2.67	0	16	3	30	1	49	11	10	1.3353	1.78302609	90.4874
gefitinib	3.18	446.152096528001	0	8	2.89	3	19	4	34	1	55	17	16	4.0102	16.08170404	114.8486
gemcitabine	-1.069	263.071762272	0	2	1.46	0	8	2	19	0	29	6	6	-0.3933	0.15468489	51.504
gemeprost	4.208	394.271924316001	1	13	3.44	8	5	9	28	0	66	0	0	-0.474000000000005	0.224676000000005	105.7339
gemfibrozil	3.35	250.156894564	0	6	2.78	5	7	7	18	0	40	6	6	3.2715	10.70271225	70.165
gemifloxacin	2.491	389.14993234	0	5	2.34	0	15	3	31	1	48	11	10	-0.5334	0.28451556	91.1739
genistein	2.319	270.237470627925	0	1	2.56	0	20	0	22	0	30	12	12	2.0645	4.26216025	70.8225
gentamicin	-11.644	1487.8691755	3	19	3.55	0	5	4	106	15	226	0	0	-18.8186	354.13970596	336.6989
gentian_violet	5.992	407.212825640001	1	4	3.77	0	22	3	30	1	59	12	12	NA	NA	NA
geranylgeranylacetone	7.262	330.548079199073	2	12	3.88	19	2	19	23	0	62	0	0	7.2731	52.8979836099999	111.4311
germanium	0	72.61275825015	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
gestodene	3.659	310.193280072001	0	1	3.55	0	4	2	26	0	49	0	0	0.475299999999997	0.225910089999997	90.8844
glatiramer	-4.409	563.599466771424	4	13	2.23	6	7	8	36	5	80	6	6	-1.5164	2.29946896	136.7031
glibornuride	4.113	366.476816859042	0	5	2.67	0	13	5	27	0	51	6	6	2.4412	5.95945744	94.7337
gliclazide	2.802	323.130362532001	0	5	2.34	0	14	5	24	0	43	6	6	0.841800000000001	0.708627240000002	77.5836
glimepiride	3.791	490.224991188001	0	11	3	2	13	5	36	0	68	6	6	1.0415	1.08472225	122.7489
glipizide	2.256	445.178375344001	0	10	2.67	2	13	5	33	0	58	12	12	-0.864799999999998	0.747879039999997	104.4677
gliquidone	4.714	527.209006776001	0	9	3.33	2	13	5	40	0	70	12	12	0.914200000000001	0.835761640000002	128.8224
glucagon	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
glucametacin	0.382	518.944381185807	1	12	3	6	18	9	38	0	63	16	15	1.4883	2.21503689	130.178
glucarpidase	0	261.58225062768	0	0	1.02	0	0	0	0	0	4	0	0	0	0	0
glucomannan	-7.595	666.578676662552	3	10	1.79	0	0	2	48	0	87	0	0	-7.7541	60.12606681	133.1633
gluconate	-2.45	216.024596908	0	1	1.24	0	2	3	13	1	23	0	0	NA	NA	NA
gluconolactone	-1.203	178.04773804	0	1	1.46	0	3	2	12	0	22	0	0	-2.229	4.968441	34.7788
glucosamine	-1.764	179.079372516	0	1	1.46	0	0	2	12	1	25	0	0	-2.803	7.856809	37.5809
glucose	-1.697	180.063388104	0	1	1.46	0	0	2	12	0	24	0	0	-2.5134	6.31717956	35.9234
glutamate	-3.83	169.035102016	0	4	1.35	5	3	7	9	2	19	0	0	NA	NA	NA
glutamine	-4.379	217.10625596	0	7	1.57	5	3	9	14	1	30	0	0	-2.7754	7.70284516	46.3295
glutathione	-4.23	307.083806264	0	11	1.46	5	3	13	19	1	37	0	0	-2.7457	7.53886849	65.6159
glutathione_disulfide	-6.622	612.151962464001	3	25	1.46	5	3	20	39	2	72	0	0	-5.3322	28.43235684	129.4356
glyburide	4.893	493.143819676001	0	11	2.89	2	13	5	35	0	61	12	12	1.0259	1.05247081	114.2626
glycerin	-1.88	92.047344116	0	2	1.46	3	0	5	5	0	14	0	0	-1.4081	1.98274561	20.5161
glycine	-3.35	75.0666886248798	0	1	1.35	2	3	4	4	1	10	0	0	-0.9781	0.95667961	16.1536
glycol_salicylate	1.272	182.173650319627	0	4	2.01	2	10	6	13	0	23	6	6	0.8786	0.77193796	45.5719
glycopyrrolate	3.443	397.125255856001	0	5	3	2	6	4	25	2	52	6	6	NA	NA	NA
glycopyrronium	3.179	507.229073524001	0	6	3.33	2	10	4	36	2	72	12	12	-0.141699999999999	0.0200788899999998	120.5704
glycyrrhizic_acid	4.414	822.403785904002	2	7	4.32	0	4	3	64	0	120	0	0	-1.6063	2.58019969000001	198.8417
glycyrrhizinate	4.414	822.403785904002	2	7	4.32	0	4	3	64	0	120	0	0	-1.6063	2.58019969000001	198.8417
gold	0	196.9665687	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
gonadorelin	-2.398	1217.549703172	3	41	4.1	5	9	28	90	3	162	21	20	-6.5072	42.34365184	279.8774
goserelin	-1.351	1268.641439368	3	44	4.43	5	9	28	96	3	175	21	20	-5.36249999999999	28.7564062499999	302.4091
gramicidin	8.281	1882.29850722702	5	68	8.28	5	9	51	143	0	276	40	36	8.835	78.057225	511.2452
granisetron	3.122	348.171689100001	0	3	2.78	0	12	3	26	1	49	10	9	-0.2762	0.0762864400000001	81.4977
grepafloxacin	3.178	359.164519784001	0	3	2.78	0	15	3	29	1	48	11	10	1.7105	2.92581025	89.1405
griseofulvin	2.115	352.071365944	0	3	2.56	0	11	2	26	0	41	6	6	1.8097	3.27501409	87.0044
guaiacolsulfonate	-0.143	204.009244356	0	2	1.57	0	12	3	13	0	21	6	6	1.1906	1.41752836	43.1415
guaiacolsulfonic_acid	-0.143	204.201786939007	0	2	1.57	0	12	3	13	0	21	6	6	0.5096	0.25969216	44.8378
guaiazulene	5.552	198.140850576	1	1	3.11	0	10	3	16	0	33	10	10	4.1279	17.03955841	66.3975
guaietolin	0.626	212.242766636158	0	6	2.23	3	8	5	15	0	31	6	6	1.0959	1.20099681	55.9872
guaifenesin	0.203	198.089208928	0	5	2.12	3	8	5	14	0	28	6	6	0.8745	0.764750249999999	51.1641
guanabenz	3.734	230.012601616	0	3	1.68	0	12	5	14	3	22	6	6	2.8617	8.18932689	54.5652
guanethidine	1.461	198.184446704	0	4	2.12	2	4	5	14	4	36	0	0	-1.8499	3.42213001	47.5045
guanfacine	2.198	245.012267268	0	4	1.79	2	6	5	15	3	24	6	6	2.6996	7.28784016	55.7469
guanidine	-0.646	59.04834716	0	0	1.24	0	4	3	3	3	9	0	0	-0.4695	0.22043025	11.1997
halazepam	4.343	352.059025344	0	3	2.56	2	17	3	26	0	36	12	12	4.4336	19.65680896	85.1118
halcinonide	2.03	454.192230024001	0	2	3.33	2	4	4	35	0	63	0	0	0.280799999999998	0.0788486399999987	112.738
halobetasol	1.912	428.156593464001	0	2	3.11	2	6	4	32	0	56	0	0	0.6275	0.393756249999999	103.7513
halofantrine	8.926	499.165654600001	2	11	3.55	4	14	9	35	1	63	16	14	4.0894	16.72319236	123.3582
haloperidol	3.429	465.171828928001	0	7	3.22	4	8	5	33	1	61	12	12	2.0266	4.10710756	115.6961
halothane	3.156	195.890224472	0	1	1.13	2	0	4	6	0	8	0	0	2.5092	6.29608464	24.6331
helium	0	4.002603254	0	0	1.35	0	0	0	0	0	1	0	0	NA	NA	NA
hemin	NA	556.611794136335	NA	8	4.32	3	28	4	46	NA	70	28	24	NA	NA	NA
heparin	-13.27	1134.9344586765	4	22	-0.52	2	5	4	73	0	112	0	0	-10.9618	120.16105924	197.134
heptaminol	1.136	145.146664228	0	4	2.12	7	0	7	9	1	29	0	0	-0.935600000000001	0.875347360000002	40.1263
heroin	1.421	369.157622836001	0	4	3.11	0	10	3	31	1	50	6	6	1.5712	2.46866943999999	98.0059
hesperidin	-0.464000000000001	610.189770388001	1	7	2.89	0	11	2	47	0	77	12	12	-0.6152	0.37847104	140.2088
hetastarch	-7.468	736.71176368475	4	15	2.34	2	0	4	53	0	102	0	0	-6.3508	40.33266064	157.0975
hexachlorophene	6.697	403.849895512	1	2	2.01	0	7	0	22	0	27	12	12	7.6384	58.34515456	87.7869
hexamidine	4.316	354.205576072001	1	11	3	6	10	8	27	4	52	12	12	1.3024	1.69624576	92.0406
hexetidine	6.229	339.361348440001	2	12	3.44	7	0	7	24	3	69	0	0	-2.1408	4.58302464	96.7099
hexobarbital	1.18	236.116092372	0	1	2.23	0	8	0	18	0	33	0	0	-0.486000000000001	0.236196000000001	57.8838
hexoprenaline	2.044	420.500129831249	2	13	3	6	8	14	31	2	62	12	12	2.0178	4.07151683999999	114.0556
histamine	-0.434	111.079647288	0	2	1.68	2	5	3	8	1	17	5	5	-1.0364	1.07412496	30.0258
histrelin	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
homatropine	1.755	275.152143532001	0	4	2.78	2	6	4	22	1	41	6	6	-0.222	0.0492839999999998	68.211
hyaluronate	-3.606	403.109054804001	2	6	1.57	0	3	3	27	1	49	0	0	NA	NA	NA
hydralazine	0.688	160.074896256	0	1	1.9	0	12	2	13	0	20	11	10	0.4181	0.17480761	49.8733
hydrochloric_acid	0.512	35.976677712	0	0	1.35	0	0	0	0	0	2	0	0	0	0	0
hydrochlorothiazide	-0.475	296.964475416	0	1	1.13	0	15	3	18	0	25	6	6	0.1133	0.0128368900000001	59.4503
hydrocodone	0.922	299.152143532001	0	1	3	0	8	2	26	1	43	6	6	1.2264	1.50405696	81.3308
hydrocortisone	1.857	460.246103492001	0	7	3.55	3	4	6	36	0	69	0	0	-0.287199999999997	0.0824838399999985	119.6932
hydroflumethiazide	-0.172	330.990832396	0	2	1.02	0	15	3	21	0	28	6	6	0.3912	0.15303744	60.6192
hydrogen_peroxide	-1.044	34.005479304	0	0	1.24	0	2	2	1	0	4	0	0	-0.9206	0.84750436	5.1292
hydromorphone	0.601	285.136493468001	0	0	2.89	0	8	0	25	1	40	6	6	0.720599999999999	0.519264359999998	76.7119
hydroquinidine	2.974	326.199428072001	0	4	3.22	0	11	2	27	1	50	11	10	0.565500000000001	0.319790250000001	89.3686
hydroquinone	1.21	110.036779432	0	0	1.9	0	8	0	8	0	14	6	6	1.2952	1.67754304	29.4462
